name,race,source
Shatub,Orc,The Elder Scrolls Online
Shatur,Orc,The Elder Scrolls Online
Shazgul,Orc,The Elder Scrolls Online
Shelakh,Orc,The Elder Scrolls Online
Shegub,Orc,The Elder Scrolls Online
Sheluk,Orc,The Elder Scrolls Online
Shub,Orc,The Elder Scrolls Online
Shurgak,Orc,The Elder Scrolls Online
Shurkul,Orc,The Elder Scrolls Online
Sgrugdul,Orc,The Elder Scrolls Online
Shugduk,Orc,The Elder Scrolls Online
Shugharz,Orc,The Elder Scrolls Online
Shuhgharz,Orc,The Elder Scrolls Online
Stugbaz,Orc,The Elder Scrolls Online
Stugh,Orc,The Elder Scrolls Online
Thormok,Orc,The Elder Scrolls Online
Thumog,Orc,The Elder Scrolls Online
Ugrush,Orc,The Elder Scrolls Online
Urku,Orc,The Elder Scrolls Online
Urkub,Orc,The Elder Scrolls Online
Urula,Orc,The Elder Scrolls Online
Usharku,Orc,The Elder Scrolls Online
Uzguk,Orc,The Elder Scrolls Online
Volkar,Orc,The Elder Scrolls Online
Vortag,Orc,The Elder Scrolls Online
Wroggin,Orc,The Elder Scrolls Online
Yarzol,Orc,The Elder Scrolls Online
Yggrub,Orc,The Elder Scrolls Online
